stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,vehicle_type
010000001,bstpgit,"Fishponds, Cassell Road (SW-bound)",51.48441,-2.51685,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=010000001,3
010000002,bstpata,"Bristol City Centre, The Centre (N-bound)",51.45278,-2.59726,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=010000002,3
010000003,bstpdja,"Southmead, Southmead Way (SE-bound)",51.49789,-2.59367,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=010000003,3
010000004,bstpdtj,"Southmead, Southmead Way (NW-bound)",51.49798,-2.59435,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=010000004,3
010000005,bstpgad,"Southmead, Tyndall's Way (NE-bound)",51.49838,-2.59232,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=010000005,3
010000006,bstpgjt,"Southmead, Tyndall's Way (NW-bound)",51.49821,-2.5919,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=010000006,3
010000007,bstpgjw,"Southmead, Southmead Hosp (SW-bound)",51.4968,-2.59118,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=010000007,3
010000008,bstpgma,"Hengrove Park, South Bristol Hosp (E-bound)",51.41237,-2.58357,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=010000008,3
010000009,bstpgmg,"Hengrove, Beechmount Grove (W-bound)",51.42662,-2.56732,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=010000009,3
010000010,bstpgmd,"Hengrove, Beechmount Grove (E-bound)",51.42657,-2.56834,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=010000010,3
010000011,bstpgmj,"Stoke Bishop, UOB Stoke Bishop Campus (SW-bound)",51.48019,-2.62532,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=010000011,3
010000012,bstpgmp,"Stoke Bishop, UOB Stoke Bishop Campus (SW-bound)",51.48032,-2.62514,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=010000012,3
010000013,bstpgmt,"Stoke Bishop, UOB Stoke Bishop Campus (NE-bound)",51.48056,-2.62528,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=010000013,3
